,紧急程度,问题汇总,问题汇总_jieba,jieba,0
0,重要,QuattroMicro仪器，今年6月份清洗过离子源，之后响应尚可，近期仪器响应不稳定，工程师上门维护一下，响应即能恢复，但实验人员平时维护后，响应又复下降，反复几次，怀疑仪器依然存在问题,QuattroMicro 仪器 今年 月份 清洗 离子源 之后 响应 尚可 近期 仪器 响应 稳定 工程师 上门 维护 一下 响应 即能 恢复 实验 人员 平时 维护 响应 复 下降 反复 几次 怀疑 仪器 依然 存在 问题 ,QuattroMicro 仪器 今年 月份 清洗 离子源 之后 响应 尚可 近期 仪器 响应 稳定 工程师 上门 维护 一下 响应 即能 恢复 实验 人员 平时 维护 响应 复 下降 反复 几次 怀疑 仪器 依然 存在 问题 QM . 第一天 上门 测试 复溶板 响应 - 8e5 图形 响应 均 表现 良好 . 测试 三块 板 次日 发现 前 几十个 样本 响应 图形 均 尚可 后面 样本 第二第三 板 图形 出现 明显 毛刺 最后 样本 响应 已经 下降 3e5 响应 无法 持续 . 更换 新 毛细管 效果 明显 依旧 毛刺 更换 超声 双通 Tip 头 依然 毛刺 （ 后面 发现 应该 毛细管 安装 到位 所致 ） . 调换 TQD 六通 阀 （ QM 通用 ） 更换 一段 peek 管路 图形 依旧 凹凸不平 . 甲酸 清洗 锥孔 超声 图形 依旧 . 清洗 四级 杆 碰撞 池 离子源 六级 杆 发现 四级 杆 组件 六颗 固定 螺丝 并未 旋紧 提出 发现 内部 碰撞 池 氩气 软管 外面 较脏 附着 颗粒状 灰尘 . 抽 真空 小时 达到 1.00 e - 测试 图形 毛刺 更为 厉害 进 peg 发现 峰型 跳动 很大 拆出 探头 发现 毛细管 可能 并未 旋 到位 略松 重新安装 测 peg 峰型 正常 测试 复溶板 图形 毛刺 明显好转 响应 不高 4e58 . 调近 probe 角度 萃取 锥孔 电压 改成 响应 上升 6e5 更换 成 TQD probe （ 二者 通用 ） 响应 升高 7e5 二者 相差不多 图形 略有 毛刺 以前 复溶 测试 图形 表现 一致 复溶 测试 两块 板 . 次日 查看 两块 板 测试 情况 响应 维持 图形 表现 正常 （ 依旧 略有 凹凸不平 ） TQD . 发现 MSMethod 中 Gly Ala 采集 质量数 75.6 93.8 偏差 进 PEG 发现 低端 质量数 偏离 严重 调用 之前 月份 Waters 进行 Intellistart 校正曲线 发现 Calibration 曲线 45.03 认错 导致 . 重新 TQD 进行 Intellistart 重新 进 内标 进行 MSMethod 调整 ,0.7521640652425603
1,重要,1235试剂仓移动故障。,1235 试剂仓 移动 故障 ,1235 试剂仓 移动 故障 . 用手 移动 试剂仓 阻力 很大 之前 老师 已经 上油过 取 试剂仓 检测 底部 并未 发现 底部 通明 垫片 损坏 脱落 重新 清洁 润滑 导轨 检查 固定 螺丝 并未 松动 进入 测试 模式 测试 正常 . 查看 历史记录 发现 17 号 PAPPA 条 稀释 微管 均 报 lossdetectedliquid 拆 稀释 微管 托盘 发现 底部 结晶 重新 清洁 干净 发现 加样针 位置 偏 对齐 重新 校正 稀释 微管 位置 稀释 微管 位置 液面 探测 正常 位置 正常 跟进 一次 实验 正常 观察 最近 实验 情况 ,0.7122148756628646
2,重要,邵阳妇幼gsp液体满溢故障gsp液体满溢故障,邵阳 妇幼 gsp 液体 满溢 故障 gsp 液体 满溢 故障 ,邵阳 妇幼 gsp 液体 满溢 故障 gsp 液体 满溢 故障 查看 log 故障 发生 洗板 模块 正在 工作 状态 检查 正 负压 系统 正常 排除 洗板 模块 满溢 可能性 检查 排除 模块 溢流 可能性 制冷 单元 工作 正常 大量 冷凝水 发现 V1 电磁阀 工作 间隔 短 不能 tank 水 清空 更换 HPR 控制板 ,0.6018072023105464
3,重要,客户反馈近期KM1软件使用过程中死机较频繁；经常软件死机软件经常在使用过程中死机,客户 反馈 近期 KM1 软件 使用 过程中 死机 频繁 经常 软件 死机 软件 经常 使用 过程中 死机 ,客户 反馈 近期 KM1 软件 使用 过程中 死机 频繁 经常 软件 死机 软件 经常 使用 过程中 死机 考虑 死机 次数 频繁 怀疑 操作系统 问题 备份 目前 XP 系统 安装 win732 位 系统 SP1 补丁 系统 激活 安装 CV 软件 SQL 数据库 驱动 装完 采集卡 驱动 连接 摄像头 电脑 蓝屏 尝试 不同 版本 SL 图库 采集卡 驱动 没有 效果 怀疑 win7 系统 兼容 考虑 近期 出现 经常 死机 问题 系统 恢复 备份 系统 ,0.7402370106788217
4,重要,扫描结果信号强度值偏低，需要对扫描仪进行校准,扫描 信号强度 值 偏低 需要 扫描仪 进行 校准 ,扫描 信号强度 值 偏低 需要 扫描仪 进行 校准 清洁 反光镜 滤光片 进行 光 路 校准 执行 FCD 测试通过 校准 Linearity Arcradius GAIN 扫描 两张 旧 芯片 信号强度 值有 明显 提升 ,0.5138382446279679
5,重要,扫描仪运行对温度较敏感；！！装机还未完成，客户不知道该故障，建议不要回访！！问题:1.芯片扫描仪对温度敏感，上周更换PDPsensor后问题依旧。问题:1.芯片扫描仪对温度敏感，上周更换PDPsensor后问题依旧。重新刷写DOCFLASH卡后无法联机，系统指示灯同时闪黄灯。将DOC寄给昂飞，用刷写器重新刷写。,扫描仪 运行 温度 敏感 装机 未 完成 客户 知道 故障 建议 不要 回访 问题 : . 芯片 扫描仪 温度 敏感 上周 更换 PDPsensor 问题 依旧 问题 : . 芯片 扫描仪 温度 敏感 上周 更换 PDPsensor 问题 依旧 重新 刷写 DOCFLASH 卡后 无法 联机 系统 指示灯 闪 黄灯 DOC 寄给 昂飞 刷写 器 重新 刷写 ,扫描仪 运行 温度 敏感 装机 未 完成 客户 知道 故障 建议 不要 回访 问题 : . 芯片 扫描仪 温度 敏感 上周 更换 PDPsensor 问题 依旧 问题 : . 芯片 扫描仪 温度 敏感 上周 更换 PDPsensor 问题 依旧 重新 刷写 DOCFLASH 卡后 无法 联机 系统 指示灯 闪 黄灯 DOC 寄给 昂飞 刷写 器 重新 刷写 措施 . 重新 刷写 DOC 设备 启动 报错 SystemError 怀疑 DOC 损坏 . PDPBASEBOARD 未 测试 使用 需要 等待 新 DOC 卡寄到 测试 使用 ,0.6307963611032346
6,重要,客户反馈最近G6PD与tsh实验质控偏低，需上门查看设备。1420最近两次实验G6PD和tsh质控偏低1235维护培训；1420最近两次实验G6PD和tsh质控偏低,客户 反馈 最近 G6PD tsh 实验 质控 偏低 需 上门 查看 设备 1420 最近 两次 实验 G6PD tsh 质控 偏低 1235 维护 培训 1420 最近 两次 实验 G6PD tsh 质控 偏低 ,客户 反馈 最近 G6PD tsh 实验 质控 偏低 需 上门 查看 设备 1420 最近 两次 实验 G6PD tsh 质控 偏低 1235 维护 培训 1420 最近 两次 实验 G6PD tsh 质控 偏低 1235 培训 加样针 管路 清洁 维护 加样 准确度 校准 培训 1420 最近 两次 实验 G6PD tsh 质控 低值 中值 偏低 排查 标准曲线 质控 count 值 没有 明显 偏高 偏低 趋势 G6PD 卤素灯 电压 6.7 V 正常 本次 G6PD 实验 质控 有所 好转 需 观察 后续 实验 情况 tsh 项目 Eu 标定 标液 测试 89 万 偏低 校准 值 100 万 1420 仪器 测试 没有 发现 问题 需 观察 后续 实验 情况 ,0.4975186071310979
7,重要,南通妇幼新装机的扫描仪，DOC问题导致开机异常扫描仪开机自检未通过，两个信号指示灯未亮。问题：扫描仪开机自检未通过，两个信号指示灯未亮。,南通 妇幼 新 装机 扫描仪 DOC 问题 导致 开机 异常 扫描仪 开机自检 未 两个 信号 指示灯 未亮 问题 扫描仪 开机自检 未 两个 信号 指示灯 未亮 ,南通 妇幼 新 装机 扫描仪 DOC 问题 导致 开机 异常 扫描仪 开机自检 未 两个 信号 指示灯 未亮 问题 扫描仪 开机自检 未 两个 信号 指示灯 未亮 措施 . 更换 新 DOC . 开机 测试 正常 ,0.7029470496161664
8,重要,泉州串联筛查量很大，一台设备运行负荷很重，近期响应下降至5-7e6，有时4-5e6；且最近C5DC质控偏高准备进行大的清洗维护保养近期响应下降较多（5-6e6），上次四级杆+碰撞池维护为3月份，同时发现C5DC质控升高，一并进行清洗维护近期响应下降较多（5-6e6），上次四级杆+碰撞池维护为3月份，同时发现C5DC质控升高，一并进行清洗维护,泉州 串联 筛查 量 很大 一台 设备 运行 负荷 重 近期 响应 下降 - 7e6 - 5e6 最近 C5DC 质控 偏高 准备 进行 清洗 维护保养 近期 响应 下降 （ - 6e6 ） 上次 四级 杆 + 碰撞 池 维护 月份 发现 C5DC 质控 升高 一并 进行 清洗 维护 近期 响应 下降 （ - 6e6 ） 上次 四级 杆 + 碰撞 池 维护 月份 发现 C5DC 质控 升高 一并 进行 清洗 维护 ,泉州 串联 筛查 量 很大 一台 设备 运行 负荷 重 近期 响应 下降 - 7e6 - 5e6 最近 C5DC 质控 偏高 准备 进行 清洗 维护保养 近期 响应 下降 （ - 6e6 ） 上次 四级 杆 + 碰撞 池 维护 月份 发现 C5DC 质控 升高 一并 进行 清洗 维护 近期 响应 下降 （ - 6e6 ） 上次 四级 杆 + 碰撞 池 维护 月份 发现 C5DC 质控 升高 一并 进行 清洗 维护 . 进行 碰撞 池 + 四级 杆 + 离子源 + 六级 杆 清洗 . 过夜 抽 真空 达到 极限 真空 使用 PEG 进行 质谱 调谐 峰形 毛刺 更换 新 毛细管 解决 . 进 内标 工作液 调试 采集 参数 变化 不大 . 测试 复溶板 响应 - 8e6 响应 恢复 图形 进入 流速 时 塌陷 超声 毛细管 双通 并重 装 毛细管 图形 恢复 . 测试 新板 样本 响应 9.5 e6 恢复正常 . 清洗 碰撞 池 + 四级 杆 + 离子源 + 六级 杆 甲醇 离子源 六级 杆 第一遍 （ 甲酸 + 甲醇 + 水 ） 均 使用 碰撞 池 超声 二次 甲醇 . 过夜 抽 真空 达到 极限 真空 PEG 调试 发现 峰形 细小 毛刺 很多 更换 新 毛细管 后峰形 恢复 光滑 . Intellistart 几次 均 不能 得到 （ MS1 MS2 低端 分辨率 调 不好 LM 调到 17 调到 16.5 低端 分辨率 过低 ） 最终 调整 autotune 初始 参数 优化 调整 Engineer 参数 得到 MS1 MS2 分辨率 . 进 内标 工作液 调试 采集 参数 变化 均 不大 . 测试 复溶板 响应 - 8e6 响应 恢复 图形 进入 流速 时 塌陷 重装 毛细管 图形 更差 超声 双通 再次 重装 毛细管 图形 恢复 前端 依然 略有 塌陷 . 测试 新板 响应 9.5 e6 正常 ,0.567013266102645
9,重要,新装机的KM1显微镜系统，发现载物台有变形，需要更换更换载物台+图像中心区域偏亮更换载物台+图像中心区域偏亮,新 装机 KM1 显微镜 系统 发现 载物台 变形 需要 更换 更换 载物台 + 图像 中心 区域 偏亮 更换 载物台 + 图像 中心 区域 偏亮 ,新 装机 KM1 显微镜 系统 发现 载物台 变形 需要 更换 更换 载物台 + 图像 中心 区域 偏亮 更换 载物台 + 图像 中心 区域 偏亮 更换 载物台 + 图像 中心 区域 偏亮 . 更换 载物台 运动 测试 正常 . 检查 聚光镜 透光镜 重新 科勒 照明 调整 图像 中心 偏亮 存在 . 调整 检查 灯箱 灯泡 使用 自带 玻片 效果 明显 注 载物台 问题解决 图像 中心 偏亮 问题 存在 需 销售 沟通 处理 等待 协商 ,0.5904528098470428
